displacement,from_city,to_city,from_state,to_state,anomaly
0,1767,1767,16,16,0
861.7032582,578,744,31,52,0
0,88,88,7,7,0
0,2787,2787,38,38,0
10.11411032,200,286,48,48,0
0,1632,1632,32,32,0
8.250571626,1284,1284,29,29,0
0,411,411,54,54,0
0,1367,1367,7,7,0
0,2293,2293,36,36,0
6.092451843,124,2337,8,8,0
0,1004,1004,33,33,0
0,459,459,23,23,0
0,948,948,21,21,0
258.3867847,2654,1367,29,9,0
5.252154037,2227,2227,54,54,0
0,913,913,46,46,0
0,904,904,54,54,0
2.769016058,2534,2534,31,31,0
2.663072758,755,755,39,39,0
10.11411032,200,286,48,48,0
0,2429,2429,49,49,0
0,2735,2735,3,3,0
0,391,391,31,31,0
0,902,902,8,8,0
0,898,898,5,5,0
0,2057,2057,8,8,0
0,2749,2749,13,13,0
394.1318007,337,337,53,53,0
0,313,313,32,32,0
0,1252,1252,31,31,0
1220.041974,2787,2540,35,44,1
0,804,804,20,20,0
0,953,953,16,16,0
0,392,392,32,32,0
0,1336,1336,20,20,0
1968.716347,761,386,36,36,1
0,1758,1758,38,38,0
0,1896,1896,31,31,0
10.81985659,1152,157,46,46,0
0,1252,1252,31,31,0
0,1626,1626,7,7,0
6.378942239,2385,2556,16,16,0
0,2806,2806,31,31,0
0,2806,2806,31,31,0
448.2006702,1926,916,32,32,0
6.697659831,628,525,46,46,0
2226.658145,1651,1593,46,46,1
0,178,178,54,54,0
0,728,728,46,46,0
0,178,178,54,54,0
0,1945,1945,7,7,0
150.7727919,2024,2476,32,32,0
0,636,636,31,31,0
0,1999,1999,20,20,0
0,2644,2644,32,32,0
0,2336,2336,54,54,0
0,2819,2819,42,42,0
0,1278,1278,31,31,0
0,1278,1278,31,31,0
0,266,266,20,20,0
0,2104,2104,46,46,0
0.141862659,1909,1909,5,5,0
0,459,459,23,23,0
0,2743,2743,42,42,0
760.3587639,1177,1177,47,47,0
772.0853926,1772,1464,53,53,0
0,1533,1533,41,41,0
3.597682985,2210,2787,3,3,0
266.2922545,899,106,25,25,0
0,1278,1278,31,31,0
0,1471,1471,49,49,0
43.56005255,2604,2012,54,54,0
263.5943117,2601,4,32,32,0
0,1006,1006,20,20,0
0,993,993,42,42,0
0,747,747,35,35,0
0.32239156,2678,2736,20,20,0
29.0996707,907,2726,42,42,0
320.5649286,263,2576,4,4,0
0,2811,2811,42,42,0
0,319,319,7,7,0
0.205591901,955,955,6,6,0
0,2056,2056,16,16,0
0,2686,2686,41,41,0
0,2154,2154,31,31,0
0,1278,1278,31,31,0
0,412,412,49,49,0
0.56105998,1419,1419,20,20,0
0,2056,2056,16,16,0
0,675,675,47,47,0
0,1278,1278,31,31,0
0.20826898,48,48,20,20,0
0,2502,2502,32,32,0
0,1644,1644,23,23,0
15.10453464,1194,418,46,16,0
0,1533,1533,41,41,0
551.7043577,1792,1678,25,8,0
4.906087511,1267,1267,44,44,0
0,2338,2338,31,31,0
0,2739,2739,32,32,0
0,2822,2822,50,50,0
26.49375978,2534,1024,31,31,0
0,1971,1971,27,27,0
0,1278,1278,31,31,0
0.196112744,2058,2058,54,54,0
44.28004496,818,1909,5,5,0
12.36102859,2717,2569,47,47,0
0,1539,1539,16,16,0
0,1539,1539,16,16,0
0,1,1,31,31,0
62.12364159,1123,371,54,54,0
188.4017346,2808,1715,46,46,0
0,178,178,54,54,0
0,2235,2235,38,38,0
327.0238308,2352,2352,30,30,0
0,1481,1481,7,7,0
0,2707,2707,7,7,0
5.331702374,133,1221,36,36,0
0,1252,1252,31,31,0
0,1,1,31,31,0
0,84,84,42,42,0
1.416892493,710,710,20,20,0
0.231410586,561,561,20,20,0
0,2157,2157,46,46,0
22.04167897,2678,804,20,20,0
0,2577,2577,20,20,0
0.207080386,48,48,20,20,0
0,2173,2173,46,46,0
0,2448,2448,36,36,0
0,1173,1173,36,36,0
1109.975047,2527,1005,48,54,0
0,1278,1278,31,31,0
3.816857372,2480,2480,31,31,0
50.04609241,2037,1934,50,50,0
0,115,115,42,42,0
7.865052753,1005,1005,54,54,0
